4.9639,64.998,16.971,2.2486,10.819
4.542,57.17,15.203,3.6787,19.407
5.2553,56.832,14.827,3.491,19.595
5.9309,56.231,14.752,3.7538,19.332
5.4054,57.17,14.339,3.2658,19.82
6.6066,56.419,13.889,3.4159,19.67
6.006,56.419,14.489,4.2793,18.806
5.4805,56.381,15.053,4.0541,19.032
6.494,56.607,13.776,3.6787,19.407
6.9471,55.351,14.608,3.4172,19.677
6.7968,55.914,14.195,3.5299,19.564
6.9846,56.816,13.106,3.4548,19.64
7.285,55.201,14.42,3.5299,19.564
7.5103,54.9,14.495,3.5299,19.564
7.1724,55.501,14.232,7.4728,15.621
8.9748,50.432,17.499,11.265,11.829
7.9985,44.762,24.146,9.6132,13.481
7.5103,41.232,28.164,9.2753,13.819
11.716,31.919,33.271,6.3087,16.786
14.119,35.411,27.375,1.427,21.667
18.174,44.798,23.992,0.12739,12.909
