4.3779,48.791,13.287,4.8004,28.744,42.031
3.497,37.247,9.6569,6.7786,42.821,52.478
4.6298,47.519,12.231,5.0321,30.588,42.819
4.9967,47.858,12.301,5.0795,29.765,42.066
3.905,36.984,9.6961,7.7972,41.618,51.314
5.2865,47.9,12.208,5.8628,28.743,40.951
5.1904,47.518,11.748,6.616,28.928,40.675
4.1617,37.055,9.1808,9.1579,40.445,49.626
5.6169,47.451,11.409,6.7432,28.779,40.189
5.7454,48.105,11.646,5.9882,28.515,40.162
3.9923,37.792,8.9441,8.6596,40.612,49.556
5.7264,47.229,11.897,6.3675,28.78,40.677
6.1776,48.049,12.17,5.6215,27.982,40.152
4.8909,37.132,9.3871,8.4183,40.172,49.559
6.324,47.541,12.173,6.9555,27.006,39.18
6.7729,45.078,16.355,14.852,16.942,33.297
5.358,31.085,15.848,20.062,27.647,43.495
7.3973,34.756,25.76,12.115,19.972,45.732
9.6877,28.917,31.354,3.2858,26.756,58.109
9.3991,24.694,20.435,2.433,43.039,63.474
14.379,36.009,20.093,0.11217,29.407,49.5
