62.573,2.159,1.675,0.81271,1.0229,0.715,0.56447,0.54707,1
62.573,0.002468,0.002579,0.002413,0.007897,0.003968,0.002435,0.002352,2
62.573,24.508,10.696,0.76203,0.88562,0.78463,0.63165,18.595,1
62.573,0.003798,0.003764,0.003677,0.003579,0.003006,0.0036,0.003715,2
62.573,5.6615,24.242,0.83818,1.3825,0.84921,0.59007,0.34373,1
62.573,0.000821,0.000835,0.00067,0.000719,0.000671,0.000745,0.000688,2
62.573,14.6,7.8838,0.84339,0.90464,1.9556,0.67875,0.42999,1
62.573,0.000203,0.000263,0.000106,0.000102,0.000122,0.000117,0.000101,2
62.573,9.3517,8.8803,2.3051,0.58564,0.63431,0.99057,0.2431,1
62.573,0.000122,0.000138,0.000111,0.000104,0.000112,0.000111,9.9e-05,2
62.573,2.991,3.3215,1.1587,1.2059,0.59818,0.519,0.64645,1
62.573,0.000106,0.000115,9.5e-05,9.3e-05,0.0001,9.9e-05,9.5e-05,2
62.573,1.1803,4.3734,1.8402,0.72801,0.43895,0.72306,0.57116,1
62.573,0.000119,0,9.4e-05,8.9e-05,0.000111,9.9e-05,8.8e-05,2
62.573,0.625,0,0.74861,3.4731,0.72068,3.6707,0.42855,1
62.573,0,0,9.4e-05,0.000102,0.0001,0.000105,8.8e-05,2
62.573,0,0,1.3768,1.2238,0.97534,0.56327,0.3577,1
62.573,0,0,0.000101,9.9e-05,0.000108,9.6e-05,0.000128,2
62.573,0,0,0.47831,5.3443,0.61602,1.0286,1.3631,1
62.573,0,0,8.9e-05,0.000112,0.000119,9.4e-05,9.7e-05,2
62.573,0,0,1.1231,2.119,0.42603,2.4931,0.49239,1
62.573,0,0,9.2e-05,0.000108,0.000106,0.000113,8.9e-05,2
62.573,0,0,0.60042,1.1789,0.74227,1.1316,1.233,1
62.573,0,0,9.2e-05,0.000102,9.9e-05,0.000162,9.8e-05,2
62.573,0,0,1.192,3.0353,0.73351,0.75442,0.49313,1
62.573,0,0,9.4e-05,0.000105,0.000109,0.000105,9.7e-05,2
62.573,0,0,1.1656,4.4844,0.67046,0.59629,0.57267,1
62.573,0,0,9.9e-05,0.000108,0.000104,9.6e-05,8.9e-05,2
