5.6839,63.239,17.686,2.1264,11.245,28.931
5.9704,56.133,14.322,3.5354,20.04,34.361
6.3063,59.229,15.565,2.7985,15.986,31.551
7.1307,58.942,15.342,2.6171,15.968,31.31
6.3036,56.304,14.054,2.9464,20.393,34.446
7.1496,59.795,14.47,2.4464,16.139,30.609
7.1726,59.746,14.516,2.6117,15.935,30.45
7.0219,55.249,14.4,3.5466,19.747,34.147
7.078,58.819,15.537,2.8198,15.727,31.264
7.4627,58.984,15.039,2.3427,16.172,31.211
7.0107,55.979,13.754,3.3274,19.929,33.683
7.1226,58.814,15.53,2.7584,15.757,31.287
8.2179,58.985,14.452,2.6207,15.724,30.176
7.6204,54.454,14.87,3.528,19.527,34.398
8.2569,57.779,15.615,5.3548,12.994,28.609
7.8957,53.631,20.223,9.162,9.0875,29.311
8.5147,44.347,24.192,9.4452,13.501,37.693
9.052,41.255,31.44,7.0963,11.157,42.596
12.011,33.328,37.552,3.6138,13.495,51.047
13.014,35.822,29.579,0.90834,20.677,50.256
18.423,45.621,23.866,0,12.09,35.956
