3.9881,46.905,15.833,4.7619,28.512
3.479,35.37,11.151,7.8947,42.105
3.4407,35.068,10.94,9.0428,41.509
3.096,35.206,11.234,8.5803,41.884
3.5604,35.78,9.8901,9.2747,41.495
3.3058,34.102,11.309,9.9609,41.322
3.9565,35.261,9.4783,9.6522,41.652
2.8041,34.599,10.915,9.4478,42.235
3.4588,35.026,10.552,8.3187,42.644
3.9276,34.775,10.724,7.4139,43.16
4.0426,35.451,10.262,9.3292,40.915
3.6299,33.82,12.129,9.5175,40.903
3.0919,35.601,10.777,8.9223,41.608
3.1561,34.241,11.025,9.3385,42.24
2.945,34.257,11.304,19.446,32.049
2.7226,32.714,12.965,27.701,23.898
2.5729,29.331,16.123,21.955,30.017
2.574,25.311,20.163,22.179,29.773
4.1649,19.751,24.173,14.899,37.012
6.1388,23.443,20.24,3.1584,47.02
9.9578,34.037,23.597,0.78455,31.623
