2.6589,44.812,13.684,5.5123,33.333
2.6723,30.614,10.924,8.1575,47.632
2.3277,31.657,9.9162,8.2402,47.858
2.6728,31.336,9.447,8.0645,48.479
2.6864,29.458,11.533,8.2909,48.031
3.0608,29.237,10.781,8.9082,48.013
3.1599,30.809,9.8513,8.7361,47.444
2.7139,30.451,10.212,10.12,46.504
1.9698,30.417,10.811,9.574,47.229
2.0989,31.297,10.588,9.7015,46.315
2.7353,31.015,9.9675,11.59,44.692
3.0678,30.128,9.9817,9.2949,47.527
3.0881,29.337,10.4,9.1735,48.002
2.6436,30.173,10.164,9.4804,47.539
2.4069,29.246,11.126,19.982,37.239
2.0353,27.273,13.297,29.444,27.951
2.7367,25.572,13.952,24.585,33.154
2.1105,22.766,17.423,23.709,33.992
4.4144,18.559,19.459,15.135,42.432
5.2385,21.328,17.493,3.3676,52.572
9.9342,31.316,20.724,1.7105,36.316
