10.116,1,10.896,5
0.0035187,2,10.896,6
18.623,1,29.523,9
0.0004326,2,29.523,9
10.883,1,40.407,12
0.000317,2,40.407,13
17.846,1,58.253,17
0.0003239,2,58.253,17
7.7152,1,65.969,20
0.0017983,2,65.969,21
9.917,1,75.89,25
0.00067,2,75.89,25
14.605,1,90.495,28
0.0002818,2,90.495,29
13.532,1,104.03,32
0.0002842,2,104.03,32
12.755,1,116.78,36
0.0006176,2,116.78,37
17.873,1,134.66,40
0.0001242,2,134.66,40
14.08,1,148.74,43
0.0002305,2,148.74,44
28.776,1,177.51,48
0.0001309,2,177.51,48
12.963,1,190.48,51
0.0001121,2,190.48,52
17.797,1,208.27,55
0.0002059,2,208.27,55
13.364,1,221.64,59
0.0001678,2,221.64,60
14.146,1,235.78,63
0.0001103,2,235.78,63
19.204,1,254.99,66
0.0001394,2,254.99,67
29.352,1,284.34,71
0.0001183,2,284.34,71
18.696,1,303.04,74
0.000128,2,303.04,75
13.857,1,316.89,78
0.0001313,2,316.89,78
13.106,1,330,81
