14.08,1,14.878,5
0.0046119,2,14.878,5
14.08,1,28.963,10
0.0007161,2,28.963,10
14.08,1,43.045,15
0.0005552,2,43.045,16
14.08,1,57.126,21
0.0004131,2,57.126,21
14.08,1,71.207,25
0.0041793,2,71.208,26
14.08,1,85.295,31
0.0006536,2,85.295,31
14.08,1,99.376,35
0.0002614,2,99.376,36
14.08,1,113.46,38
0.0005373,2,113.46,38
14.08,1,127.54,43
0.0005332,2,127.54,44
14.08,1,141.62,48
0.0001509,2,141.62,48
14.08,1,155.7,52
0.0004916,2,155.7,53
14.08,1,169.78,55
0.0001222,2,169.78,55
14.08,1,183.86,57
0.0001787,2,183.86,58
14.08,1,197.94,61
0.0001423,2,197.94,61
14.08,1,212.02,61
0.0001482,2,212.02,62
14.08,1,226.1,63
0.0001263,2,226.1,63
14.08,1,240.18,64
0.0001369,2,240.18,65
14.08,1,254.26,68
0.0001246,2,254.26,68
14.08,1,268.34,72
0.000137,2,268.34,73
14.08,1,282.42,77
0.0002104,2,282.42,77
14.08,1,296.5,81
0.0001794,2,296.5,82
14.08,1,310.58,84
0.0001207,2,310.58,84
14.08,1,324.66,86
0.0001677,2,324.66,87
5.3389,1,330,88
