5.7902,64.214,17.022,1.6979,11.276
5.395,57.033,14.605,3.0058,19.961
5.5491,55.491,15.992,2.9672,20
6.0501,55.761,15.222,2.736,20.231
6.2428,56.57,14.22,2.8131,20.154
7.4374,54.798,14.798,3.1214,19.846
6.8979,56.724,13.41,3.1599,19.807
7.0906,54.22,15.723,3.1985,19.769
6.8593,55.684,14.489,3.0829,19.884
6.6667,57.457,12.909,2.8131,20.154
7.2062,55.8,14.027,2.8516,20.116
8.3622,55.183,13.487,3.3911,19.576
7.553,55.222,14.258,3.7765,19.191
7.3988,55.491,14.143,3.3911,19.576
7.553,54.875,14.566,8.5549,14.412
7.8258,51.234,17.965,11.989,10.987
8.2498,44.757,24.017,9.1365,13.84
8.4426,39.052,29.53,9.2907,13.685
12.182,32.228,32.614,6.1295,16.847
14.495,35.544,26.985,1.0794,21.897
17.726,45.514,23.78,0.043554,12.936
